timestamp,fx,fy,fz,tx,ty,tz
35.9263447,0.0135634,0.1693347,-0.5472470,0.0083952,-0.0106259,-0.0001093
35.9273447,0.0370317,0.1842974,-0.5290582,0.0090301,-0.0107251,-0.0001015
35.9283447,0.0139974,0.1845642,-0.5146288,0.0083445,-0.0095959,-0.0004117
35.9293447,0.0307920,0.2098213,-0.5160355,0.0085487,-0.0086227,-0.0001788
35.9071073,-0.0073020,0.1673124,-0.5481283,0.0088513,-0.0073504,-0.0000284
35.9081073,0.0138172,0.2016356,-0.5438537,0.0062671,-0.0058032,-0.0000409
35.9091073,0.0065115,0.1299063,-0.5102465,0.0068195,-0.0024260,-0.0007231
35.9101073,-0.0473516,0.1533093,-0.4486060,0.0054841,0.0003592,-0.0007862
35.9111073,-0.0984787,0.1603781,-0.5820973,0.0053071,0.0014414,-0.0012257
35.9121073,-0.0944255,0.1046087,-0.6156121,0.0056916,0.0020670,-0.0006055
35.9131073,-0.1197112,0.1404930,-0.5793611,0.0059857,0.0019163,-0.0009070
35.9141073,-0.1044648,0.1331602,-0.4420488,0.0064617,0.0011656,-0.0016373
35.9151073,-0.0675740,0.1455772,-0.5120936,0.0060647,0.0001677,-0.0011183
35.9161073,-0.0861023,0.1474557,-0.5265318,0.0064109,-0.0000434,-0.0011221
35.9171073,-0.0432015,0.1424911,-0.4778056,0.0063961,-0.0004079,-0.0010264
35.9181073,-0.0530573,0.1783305,-0.5088411,0.0070177,-0.0005132,-0.0008816
35.9191073,-0.0862056,0.1468475,-0.5438287,0.0064046,0.0001394,-0.0008937
35.9201073,-0.0419666,0.1390638,-0.4463852,0.0060355,0.0003285,-0.0010163
35.9211073,-0.0519094,0.1356018,-0.4101180,0.0063403,0.0000586,-0.0016272
35.9221073,-0.0672048,0.1593011,-0.4128964,0.0060244,0.0015772,-0.0011621
35.9231073,-0.0703023,0.1527139,-0.5613773,0.0066050,0.0010345,-0.0010558
35.9241073,-0.1110132,0.1062858,-0.4119943,0.0057578,0.0016783,-0.0010017
35.9251073,-0.0936949,0.1477963,-0.5796443,0.0060594,0.0011279,-0.0007514
35.9261073,-0.0860674,0.1126828,-0.5126068,0.0059529,0.0011745,-0.0011158
35.9271073,-0.0758017,0.1353852,-0.3963776,0.0058383,0.0014655,-0.0009986
35.9281073,-0.1039963,0.1297387,-0.3937650,0.0062844,0.0020004,-0.0011513
35.9291073,-0.0918242,0.1240542,-0.5327903,0.0053713,0.0019519,-0.0006572
35.9301073,-0.0946135,0.1361327,-0.4958682,0.0061571,0.0016149,-0.0005636
35.9311073,-0.0970716,0.1062673,-0.4269802,0.0064256,0.0017548,-0.0010042
35.9321073,-0.0765416,0.1360846,-0.4126761,0.0060132,0.0013758,-0.0007692
35.9331073,-0.0990721,0.1287077,-0.4579693,0.0071158,0.0013016,-0.0006234
35.9341073,-0.0765415,0.1086568,-0.4630003,0.0057738,0.0008138,-0.0010204
35.9351073,-0.0720637,0.1120040,-0.4442277,0.0066504,0.0014407,-0.0006192
35.9361073,-0.1014099,0.1228915,-0.4456541,0.0057213,0.0011197,-0.0010155
35.9371073,-0.0690767,0.1158913,-0.3599178,0.0061991,0.0002093,-0.0012953
35.9381073,-0.0928676,0.0799783,-0.4133098,0.0053924,0.0006754,-0.0007672
35.9391073,-0.0758129,0.1429677,-0.4611376,0.0060700,-0.0003212,-0.0007872
35.9401073,-0.0691292,0.1352212,-0.4273192,0.0063437,0.0003822,-0.0009295
35.9411073,-0.0592990,0.0902677,-0.4298780,0.0056373,0.0002984,-0.0011642
35.9421073,-0.0512273,0.0967548,-0.3792742,0.0058928,-0.0000526,-0.0005202
