Value,Mode,Port,Timestamp Sent,Timestamp Received
126.0,0.0,0.0,55471.0,1761785527084.8381
29.0,0.0,1.0,55332.0,1761785527085.1914
29.0,0.0,2.0,55479.0,1761785527085.5347
29.0,0.0,3.0,55917.0,1761785527085.8813
29.0,0.0,4.0,55090.0,1761785527086.2366
29.0,0.0,5.0,56156.0,1761785527086.599
29.0,0.0,6.0,56005.0,1761785527087.071
28.0,0.0,7.0,56145.0,1761785527087.5957
126.0,1.0,0.0,55472.0,1761785527088.026
29.0,1.0,1.0,55320.0,1761785527088.3962
29.0,1.0,2.0,55484.0,1761785527088.7534
29.0,1.0,3.0,55904.0,1761785527089.106
29.0,1.0,4.0,55091.0,1761785527089.494
29.0,1.0,5.0,56165.0,1761785527090.0188
29.0,1.0,6.0,56020.0,1761785527090.411
28.0,1.0,7.0,56149.0,1761785527090.893
126.0,0.0,0.0,55458.0,1761785527091.332
29.0,0.0,1.0,55302.0,1761785527091.7405
29.0,0.0,2.0,55457.0,1761785527092.1091
29.0,0.0,3.0,55898.0,1761785527092.471
29.0,0.0,4.0,55089.0,1761785527092.8782
29.0,0.0,5.0,56142.0,1761785527093.235
29.0,0.0,6.0,55991.0,1761785527093.73
28.0,0.0,7.0,56139.0,1761785527094.2292
126.0,1.0,0.0,55463.0,1761785527094.6262
29.0,1.0,1.0,55314.0,1761785527095.0337
29.0,1.0,2.0,55464.0,1761785527095.4485
29.0,1.0,3.0,55898.0,1761785527095.8372
29.0,1.0,4.0,55082.0,1761785527096.1946
29.0,1.0,5.0,56142.0,1761785527096.6375
29.0,1.0,6.0,55992.0,1761785527097.0747
28.0,1.0,7.0,56144.0,1761785527097.5
126.0,0.0,0.0,55462.0,1761785527098.0325
29.0,0.0,1.0,55310.0,1761785527098.444
29.0,0.0,2.0,55460.0,1761785527098.8347
29.0,0.0,3.0,55897.0,1761785527099.234
29.0,0.0,4.0,55085.0,1761785527099.5806
29.0,0.0,5.0,56158.0,1761785527099.9292
29.0,0.0,6.0,55996.0,1761785527100.4602
28.0,0.0,7.0,56150.0,1761785527100.813
126.0,1.0,0.0,55455.0,1761785527101.2405
29.0,1.0,1.0,55297.0,1761785527101.5935
29.0,1.0,2.0,55449.0,1761785527101.9448
29.0,1.0,3.0,55879.0,1761785527102.2747
29.0,1.0,4.0,55066.0,1761785527102.5994
29.0,1.0,5.0,56132.0,1761785527102.9521
29.0,1.0,6.0,55984.0,1761785527103.2969
28.0,1.0,7.0,56145.0,1761785527103.6533
126.0,0.0,0.0,55465.0,1761785527104.1208
29.0,0.0,1.0,55314.0,1761785527104.523
29.0,0.0,2.0,55463.0,1761785527104.926
29.0,0.0,3.0,55906.0,1761785527105.2812
29.0,0.0,4.0,55089.0,1761785527105.7976
29.0,0.0,5.0,56148.0,1761785527106.1494
29.0,0.0,6.0,55996.0,1761785527106.4868
28.0,0.0,7.0,56140.0,1761785527106.9312
126.0,1.0,0.0,55468.0,1761785527107.2708
