c1normal,c2normal,c3normal,c4normal,c1shear,c2shear,c3shear,c4shear,timestamp
112563.000,112612.000,112183.000,112196.000,-503.000,-321.000,-66.000,545.000,1761203749.563
112561.000,112623.000,112170.000,112175.000,-494.000,-322.000,-66.000,535.000,1761203749.564
112562.000,112633.000,112186.000,112185.000,-531.000,-333.000,-72.000,529.000,1761203749.566
112588.000,112622.000,112191.000,112171.000,-494.000,-350.000,-83.000,557.000,1761203749.567
112588.000,112649.000,112192.000,112216.000,-486.000,-351.000,-80.000,530.000,1761203749.569
112602.000,112670.000,112190.000,112199.000,-498.000,-337.000,-79.000,543.000,1761203749.571
112578.000,112634.000,112188.000,112182.000,-521.000,-359.000,-68.000,535.000,1761203749.573
112578.000,112627.000,112210.000,112227.000,-505.000,-337.000,-71.000,536.000,1761203749.574
112612.000,112635.000,112207.000,112195.000,-499.000,-333.000,-86.000,541.000,1761203749.576
112571.000,112632.000,112213.000,112219.000,-515.000,-337.000,-50.000,526.000,1761203749.577
112552.000,112635.000,112177.000,112173.000,-511.000,-343.000,-78.000,522.000,1761203749.579
112559.000,112613.000,112184.000,112155.000,-511.000,-343.000,-67.000,521.000,1761203749.581
112576.000,112647.000,112185.000,112175.000,-506.000,-345.000,-83.000,531.000,1761203749.582
112588.000,112645.000,112188.000,112196.000,-510.000,-332.000,-90.000,525.000,1761203749.584
112576.000,112627.000,112168.000,112179.000,-518.000,-340.000,-82.000,518.000,1761203749.586
112595.000,112618.000,112202.000,112215.000,-486.000,-336.000,-70.000,539.000,1761203749.587
112574.000,112617.000,112169.000,112190.000,-521.000,-328.000,-62.000,541.000,1761203749.589
112581.000,112617.000,112181.000,112158.000,-508.000,-337.000,-80.000,553.000,1761203749.591
112560.000,112638.000,112177.000,112178.000,-504.000,-345.000,-67.000,518.000,1761203749.592
112552.000,112621.000,112189.000,112210.000,-501.000,-341.000,-81.000,529.000,1761203749.594
112575.000,112615.000,112200.000,112179.000,-501.000,-346.000,-84.000,532.000,1761203749.595
112557.000,112622.000,112162.000,112158.000,-518.000,-348.000,-71.000,521.000,1761203749.597
112562.000,112634.000,112228.000,112203.000,-513.000,-339.000,-73.000,536.000,1761203749.599
112604.000,112644.000,112182.000,112174.000,-503.000,-327.000,-75.000,546.000,1761203749.601
112576.000,112629.000,112205.000,112182.000,-534.000,-334.000,-79.000,531.000,1761203749.602
112566.000,112648.000,112210.000,112196.000,-535.000,-321.000,-83.000,530.000,1761203749.604
112578.000,112614.000,112170.000,112159.000,-503.000,-342.000,-80.000,537.000,1761203749.606
112586.000,112653.000,112198.000,112175.000,-505.000,-329.000,-85.000,542.000,1761203749.607
112615.000,112648.000,112198.000,112211.000,-493.000,-357.000,-87.000,554.000,1761203749.609
112594.000,112622.000,112217.000,112204.000,-506.000,-333.000,-90.000,532.000,1761203749.611
112566.000,112623.000,112207.000,112194.000,-518.000,-337.000,-70.000,532.000,1761203749.612
112580.000,112640.000,112185.000,112190.000,-518.000,-342.000,-58.000,543.000,1761203749.614
112595.000,112650.000,112181.000,112197.000,-492.000,-350.000,-73.000,541.000,1761203749.616
112585.000,112651.000,112243.000,112198.000,-525.000,-315.000,-78.000,549.000,1761203749.618
112622.000,112653.000,112200.000,112215.000,-505.000,-329.000,-82.000,544.000,1761203749.620
112564.000,112613.000,112196.000,112175.000,-499.000,-335.000,-85.000,552.000,1761203749.621
112616.000,112666.000,112201.000,112205.000,-518.000,-339.000,-74.000,524.000,1761203749.623
112573.000,112626.000,112222.000,112205.000,-504.000,-343.000,-86.000,563.000,1761203749.625
112580.000,112608.000,112187.000,112218.000,-509.000,-357.000,-78.000,552.000,1761203749.626
112634.000,112651.000,112240.000,112241.000,-497.000,-333.000,-78.000,537.000,1761203749.628
112597.000,112674.000,112236.000,112184.000,-507.000,-336.000,-76.000,530.000,1761203749.629
112607.000,112627.000,112189.000,112233.000,-511.000,-334.000,-83.000,553.000,1761203749.631
112584.000,112617.000,112178.000,112191.000,-516.000,-341.000,-57.000,525.000,1761203749.633
112551.000,112623.000,112171.000,112186.000,-503.000,-333.000,-78.000,540.000,1761203749.635
112579.000,112646.000,112183.000,112215.000,-522.000,-329.000,-76.000,536.000,1761203749.636
112560.000,112613.000,112210.000,112197.000,-509.000,-331.000,-78.000,528.000,1761203749.638
112600.000,112620.000,112227.000,112201.000,-501.000,-343.000,-81.000,557.000,1761203749.639
112597.000,112647.000,112194.000,112196.000,-496.000,-345.000,-86.000,532.000,1761203749.641
112574.000,112628.000,112185.000,112191.000,-526.000,-342.000,-67.000,534.000,1761203749.643
112607.000,112652.000,112194.000,112209.000,-527.000,-338.000,-71.000,543.000,1761203749.644
112588.000,112633.000,112198.000,112172.000,-498.000,-342.000,-69.000,526.000,1761203749.646
112618.000,112652.000,112180.000,112167.000,-503.000,-346.000,-70.000,556.000,1761203749.647
112576.000,112650.000,112212.000,112191.000,-531.000,-326.000,-84.000,553.000,1761203749.649
112596.000,112647.000,112214.000,112201.000,-503.000,-334.000,-96.000,536.000,1761203749.651
112590.000,112642.000,112206.000,112198.000,-509.000,-332.000,-81.000,554.000,1761203749.652
112586.000,112604.000,112216.000,112217.000,-497.000,-339.000,-79.000,547.000,1761203749.654
112615.000,112675.000,112217.000,112213.000,-511.000,-340.000,-77.000,531.000,1761203749.656
112603.000,112668.000,112227.000,112212.000,-494.000,-349.000,-75.000,534.000,1761203749.657
112599.000,112648.000,112219.000,112234.000,-494.000,-335.000,-66.000,535.000,1761203749.659
112601.000,112642.000,112204.000,112202.000,-506.000,-345.000,-70.000,540.000,1761203749.660
112594.000,112625.000,112191.000,112208.000,-511.000,-334.000,-64.000,538.000,1761203749.662
112589.000,112666.000,112210.000,112207.000,-494.000,-316.000,-91.000,548.000,1761203749.663
112578.000,112639.000,112198.000,112218.000,-493.000,-330.000,-83.000,560.000,1761203749.665
112595.000,112635.000,112208.000,112202.000,-498.000,-343.000,-86.000,562.000,1761203749.667
112586.000,112657.000,112221.000,112182.000,-517.000,-346.000,-71.000,524.000,1761203749.669
112586.000,112652.000,112219.000,112229.000,-512.000,-337.000,-67.000,555.000,1761203749.670
112567.000,112618.000,112195.000,112175.000,-524.000,-330.000,-83.000,545.000,1761203749.672
112592.000,112655.000,112199.000,112205.000,-501.000,-341.000,-75.000,543.000,1761203749.673
112563.000,112616.000,112185.000,112188.000,-515.000,-331.000,-78.000,518.000,1761203749.675
112566.000,112659.000,112204.000,112189.000,-525.000,-317.000,-80.000,554.000,1761203749.677
112549.000,112627.000,112174.000,112162.000,-507.000,-333.000,-86.000,538.000,1761203749.678
112556.000,112623.000,112203.000,112190.000,-511.000,-339.000,-79.000,543.000,1761203749.680
112561.000,112608.000,112191.000,112191.000,-505.000,-338.000,-71.000,528.000,1761203749.682
112600.000,112628.000,112187.000,112172.000,-504.000,-351.000,-55.000,530.000,1761203749.684
112551.000,112594.000,112174.000,112189.000,-508.000,-352.000,-74.000,544.000,1761203749.685
112560.000,112631.000,112192.000,112199.000,-500.000,-346.000,-60.000,498.000,1761203749.687
112596.000,112634.000,112197.000,112173.000,-524.000,-323.000,-72.000,542.000,1761203749.688
112559.000,112605.000,112177.000,112184.000,-508.000,-337.000,-70.000,544.000,1761203749.690
112641.000,112637.000,112205.000,112178.000,-510.000,-364.000,-68.000,536.000,1761203749.691
112604.000,112644.000,112200.000,112165.000,-513.000,-340.000,-72.000,512.000,1761203749.693
112599.000,112629.000,112227.000,112218.000,-503.000,-353.000,-77.000,534.000,1761203749.695
112569.000,112631.000,112195.000,112180.000,-508.000,-340.000,-72.000,527.000,1761203749.697
112566.000,112617.000,112176.000,112189.000,-503.000,-341.000,-69.000,528.000,1761203749.698
112566.000,112632.000,112226.000,112157.000,-500.000,-337.000,-89.000,514.000,1761203749.700
112584.000,112623.000,112187.000,112173.000,-505.000,-339.000,-68.000,550.000,1761203749.701
112599.000,112627.000,112191.000,112166.000,-502.000,-320.000,-83.000,546.000,1761203749.703
112582.000,112630.000,112170.000,112156.000,-506.000,-354.000,-78.000,543.000,1761203749.704
112607.000,112622.000,112199.000,112215.000,-491.000,-343.000,-74.000,543.000,1761203749.706
112581.000,112623.000,112201.000,112216.000,-490.000,-336.000,-70.000,533.000,1761203749.707
112574.000,112657.000,112214.000,112206.000,-507.000,-327.000,-90.000,563.000,1761203749.709
112585.000,112633.000,112226.000,112207.000,-512.000,-337.000,-66.000,548.000,1761203749.710
112588.000,112638.000,112186.000,112181.000,-500.000,-343.000,-82.000,562.000,1761203749.712
112597.000,112631.000,112205.000,112184.000,-520.000,-346.000,-71.000,526.000,1761203749.714
112593.000,112642.000,112205.000,112197.000,-530.000,-323.000,-68.000,527.000,1761203749.715
112581.000,112613.000,112212.000,112195.000,-497.000,-355.000,-62.000,510.000,1761203749.717
112560.000,112610.000,112198.000,112174.000,-521.000,-345.000,-87.000,563.000,1761203749.719
112589.000,112636.000,112195.000,112185.000,-497.000,-354.000,-75.000,545.000,1761203749.720
112579.000,112631.000,112190.000,112190.000,-514.000,-338.000,-74.000,548.000,1761203749.722
112589.000,112640.000,112190.000,112179.000,-505.000,-335.000,-77.000,534.000,1761203749.723
112615.000,112617.000,112211.000,112199.000,-507.000,-344.000,-76.000,508.000,1761203749.725
112569.000,112625.000,112192.000,112183.000,-511.000,-316.000,-91.000,550.000,1761203749.727
112565.000,112626.000,112189.000,112172.000,-516.000,-336.000,-92.000,517.000,1761203749.729
112561.000,112650.000,112202.000,112202.000,-511.000,-341.000,-64.000,516.000,1761203749.731
112599.000,112631.000,112188.000,112206.000,-516.000,-354.000,-76.000,529.000,1761203749.733
112603.000,112630.000,112194.000,112174.000,-492.000,-353.000,-75.000,537.000,1761203749.734
112595.000,112652.000,112203.000,112202.000,-511.000,-346.000,-66.000,522.000,1761203749.736
112575.000,112637.000,112189.000,112191.000,-483.000,-370.000,-74.000,536.000,1761203749.738
112555.000,112618.000,112207.000,112167.000,-499.000,-349.000,-60.000,533.000,1761203749.739
112564.000,112622.000,112217.000,112192.000,-505.000,-343.000,-69.000,524.000,1761203749.741
112597.000,112642.000,112173.000,112178.000,-496.000,-333.000,-63.000,542.000,1761203749.744
112574.000,112619.000,112190.000,112179.000,-520.000,-347.000,-75.000,563.000,1761203749.745
112566.000,112618.000,112192.000,112171.000,-510.000,-346.000,-73.000,534.000,1761203749.747
112604.000,112624.000,112191.000,112173.000,-511.000,-334.000,-84.000,532.000,1761203749.749
112580.000,112625.000,112186.000,112177.000,-512.000,-329.000,-71.000,532.000,1761203749.751
112622.000,112635.000,112173.000,112154.000,-489.000,-352.000,-81.000,537.000,1761203749.752
112569.000,112650.000,112184.000,112197.000,-528.000,-355.000,-66.000,539.000,1761203749.754
112567.000,112595.000,112159.000,112152.000,-492.000,-343.000,-78.000,533.000,1761203749.755
112583.000,112615.000,112179.000,112185.000,-506.000,-338.000,-80.000,546.000,1761203749.757
112575.000,112614.000,112172.000,112150.000,-498.000,-341.000,-82.000,559.000,1761203749.759
112556.000,112617.000,112163.000,112160.000,-498.000,-328.000,-58.000,539.000,1761203749.761
112558.000,112602.000,112163.000,112151.000,-505.000,-341.000,-67.000,522.000,1761203749.762
112567.000,112610.000,112166.000,112181.000,-511.000,-333.000,-57.000,535.000,1761203749.764
112553.000,112616.000,112199.000,112148.000,-508.000,-339.000,-72.000,520.000,1761203749.765
112572.000,112629.000,112183.000,112196.000,-505.000,-318.000,-72.000,562.000,1761203749.767
112549.000,112582.000,112200.000,112154.000,-509.000,-349.000,-85.000,515.000,1761203749.768
112581.000,112645.000,112214.000,112188.000,-512.000,-326.000,-70.000,548.000,1761203749.770
112584.000,112618.000,112201.000,112182.000,-501.000,-342.000,-62.000,543.000,1761203749.772
112605.000,112653.000,112178.000,112161.000,-506.000,-343.000,-77.000,545.000,1761203749.773
112578.000,112603.000,112167.000,112176.000,-514.000,-346.000,-68.000,519.000,1761203749.775
112596.000,112608.000,112197.000,112167.000,-516.000,-358.000,-71.000,531.000,1761203749.777
112570.000,112611.000,112175.000,112168.000,-504.000,-349.000,-86.000,531.000,1761203749.778
112575.000,112617.000,112192.000,112190.000,-506.000,-325.000,-90.000,548.000,1761203749.780
112558.000,112630.000,112163.000,112169.000,-504.000,-338.000,-77.000,529.000,1761203749.782
112593.000,112612.000,112184.000,112157.000,-517.000,-339.000,-74.000,529.000,1761203749.783
112574.000,112643.000,112207.000,112174.000,-531.000,-318.000,-80.000,511.000,1761203749.785
112575.000,112636.000,112206.000,112183.000,-497.000,-336.000,-75.000,512.000,1761203749.786
112589.000,112620.000,112204.000,112211.000,-506.000,-336.000,-76.000,530.000,1761203749.788
112572.000,112605.000,112180.000,112159.000,-514.000,-345.000,-75.000,556.000,1761203749.789
112579.000,112624.000,112219.000,112181.000,-520.000,-343.000,-71.000,524.000,1761203749.791
112591.000,112633.000,112211.000,112180.000,-517.000,-334.000,-78.000,535.000,1761203749.793
112554.000,112608.000,112204.000,112180.000,-513.000,-339.000,-75.000,543.000,1761203749.796
112601.000,112681.000,112228.000,112211.000,-497.000,-342.000,-66.000,519.000,1761203749.798
112607.000,112663.000,112213.000,112231.000,-509.000,-360.000,-89.000,547.000,1761203749.799
112615.000,112643.000,112211.000,112227.000,-506.000,-337.000,-70.000,539.000,1761203749.801
112606.000,112679.000,112231.000,112229.000,-505.000,-334.000,-69.000,532.000,1761203749.803
112578.000,112642.000,112231.000,112218.000,-500.000,-320.000,-95.000,529.000,1761203749.804
112639.000,112645.000,112218.000,112196.000,-516.000,-333.000,-86.000,535.000,1761203749.806
112647.000,112656.000,112246.000,112208.000,-507.000,-344.000,-66.000,532.000,1761203749.820
